nombre,precioEspecial,codigo_principal,vendible,stock,id_producto
Fuente Be Quiet! 600W 80 Plus Bronze U9,15200.0,EAN: 4260052188477,1,20,11378
Auriculares Nisuta Ovansu OS-AUG580C PS4 Camuflado Artic,4370.0,OTROS: 1134311343,1,5,11343
Disco Externo SSD Seagate 500GB XBOX Negro USB 3.0,22990.0,SKU: STHB500401,1,1,11336
Auriculares Nisuta Ovansu OS-AUG580C PS4 Camuflado,4570.0,SKU: OSAUG580C,1,20,11320
Memora PNY DDR4 8GB 3200MHz XLR8 Epic RGB,9900.0,SKU: MD8GD4320016XRGB,1,20,11313
Memoria GeiL DDR4 16GB (2x8GB) 3600MHz Orion RGB,23400.0,SKU: GAOSG416GB3600C18BDC,1,20,11304
Memoria GeiL DDR4 16GB (2x8GB) 3600MHz Orion Red RGB,20400.0,SKU: GAOSR416GB3600C18BDC,1,20,11301
Memoria GeiL DDR4 16GB (2x8GB) 3200MHz Orion Red RGB,19950.0,SKU: GAOSR416GB3200C16BDC,1,20,11300
Auriculares HyperX Cloud Flight Black Wireless,22000.0,SKU: HX-HSCF-BK/AM,1,20,11298
Disco Solido SSD M.2 WD 240GB GREEN 545MB/s,6120.0,SKU: WDS240G2G0B-,1,20,11287
Fuente Gamemax 600W 80 Plus Bronze RGB VP-600,13720.0,EAN: 6931858767941,1,20,11278
Fuente ASUS TUF 550W 80 Plus Bronze 550B,18680.0,SKU: TUF-550B-GAMING,1,20,11265
Fuente ASUS ROG THOR 1200W 80 Plus Platinum 1200P Full modular,72190.0,SKU: RTSS01-1200P1,1,20,11263
Fuente ASUS ROG THOR 850W 80 Plus Platinum 850P Full modular,52300.0,SKU: RTSS02-850P1,1,20,11262
Procesador Intel Core i3 10100F 4.3GHz Turbo 1200 Comet Lake,18300.0,SKU: BX8070110100F,1,20,11249
Procesador Intel Core i7 10700KF 5.1GHz Turbo 1200 Comet Lake,67100.0,SKU: BX8070110700KF,1,20,11248
Memoria Team DDR4 64GB (2x32GB) 2666MHz T-Create,62950.0,SKU: TTCCD464G2666HC19DC01,1,20,11246
Mouse ASUS ROG STRIX Evolve RGB Ambidiestro y Modular,8230.0,SKU: 90MP00J0-B0AA00,1,5,11244
Mouse Pad ASUS NC05 TUF Gaming P3,4530.0,SKU: 90MP01C0-B0UA00,1,20,11231
Mouse ASUS ROG Pugio II Wireless Bluetooth 16K DPI Ambidiestro,18100.0,SKU: 90MP01L0-BMUA00,1,8,11229
Mouse ASUS ROG CHAKRAM RF Inalambrico 16K DPI RGB,31580.0,SKU: 90MP01K0-BMUA00,1,19,11228
Mouse ASUS ROG Gladius II Core RGB,9390.0,SKU: 90MP01D0-B0UA00,1,4,11227
Fuente ASUS ROG STRIX 650W 80 Plus Gold Full Modular 650G,29810.0,SKU: ROG-STRIX-650G,1,20,11220
Microfono Logitech Blue Yeticaster Blackout,48890.0,SKU: 988-000107,1,1,11200
Microfono Logitech Blue Yeti Shadow Grey,19790.0,SKU: 988-000088,1,18,11197
Placa de Video ASUS GeForce RTX 3070 Ti 8GB GDDR6 ROG STRIX GAMING OC,195000.0,SKU: 90YV0GW0-MVAA00,1,20,11189
Disco Solido SSD M.2 ADATA 1TB XPG Gammix S50 Lite 3900MB/s NVMe PCI-E 4.0 x4,27020.0,SKU: AGAMMIXS50L-1T-C,1,20,11184
Mouse Pad Corsair MM350 Champion Series X-Large 450x400mm,5250.0,SKU: CH-9413560-WW,1,3,11180
"Monitor Viewsonic 27"" Elite XG270 240Hz 1Ms",158550.0,SKU: -XG270-,1,8,11157
Memoria GeiL DDR4 8GB 3600MHz EVO X II RGB,10600.0,SKU: GAEXSY48GB3600C18BSC,1,16,11153
Memoria GeiL DDR4 8GB 3200MHz EVO X II RGB,9900.0,SKU: GAEXSY48GB3200C16BSC,1,20,11152
Gabinete ASUS TUF GT501 Vidrio Templado Black 3 x Coolers RGB Aura Sync,47899.0,SKU: 90DC0012-B40000,1,20,11150
Gabinete Corsair 280X RGB TG Black MATX,38799.0,SKU: CC-9011135-WW,1,20,11141
Gabinete Corsair Obsidian 500D RGB SE TG Black ATX55,71800.0,SKU: CC-9011139-WW,1,18,11138
Cooler CPU ASUS ROG STRIX LC120,36650.0,SKU: 90RC0050-M0A,1,17,11132
Teclado Mecanico Redragon Kumara K552 White RGB Español Switch Outemu Red,8340.0,SKU: K552W-RGB-1R-SP,1,20,11112
Gabinete Corsair iCUE 4000X TG ATX White,34250.0,SKU: CC-9011205-WW,1,2,11111
Gabinete Corsair iCUE 4000X TG ATX Black,35800.0,SKU: CC-9011204-WW,1,20,11110
Gabinete Corsair 4000D TG Airflow White ATX,28860.0,SKU: CC-9011201-WW,1,20,11109
Gabinete Corsair 4000D TG Airflow Black ATX,28499.0,SKU: CC-9011200-WW,1,20,11108
Auriculares Corsair VOID RGB ELITE Wireless White 7.1,29900.0,SKU: CA-9011202-NA,1,7,11101
Auriculares Gaming Wesdar GH8 GN,5120.0,SKU: WD-GH8-GN,1,20,11089
Mouse Logitech G305 Lightspeed Wireless Lila,7010.0,SKU: 910-006021,1,20,11087
Microfono Logitech Blue Yeti Blackout,23730.0,SKU: 988-000100,1,17,11086
Microfono Logitech Blue Snowball White,10280.0,SKU: 988-000070,1,20,11085
Procesador Intel Core i7 10700F 4.8GHz Turbo Socket 1200 Comet Lake,57600.0,SKU: BX8070110700F,1,20,11073
Mother ASUS PRIME B450M-A II AM4,20850.0,P/N: 90MB15Z0-M0EAY0,1,20,11070
Fuente ASUS ROG STRIX 750W 80 Plus Gold Full Modular 750G,35820.0,SKU: RSSS04-750G1,1,20,11061
Procesador AMD Ryzen 9 5900X 4.8GHz Turbo AM4 - No incluye Cooler,116770.0,SKU: 100-100000061WOF,1,20,11060
Mother ASUS ROG STRIX B450-F GAMING II AM4,41350.0,UPC: 192876924051,1,20,11043
Procesador AMD Ryzen 5 5600X 4.6GHz Turbo AM4 + Wraith Stealth Cooler,51200.0,SKU: 100-100000065BOX,1,20,11028
Volante Logitech G923 Trueforce 220V PS4 PC,92000.0,SKU: 941-000148,1,4,11027
Procesador AMD Ryzen 7 5800X 4.7GHz Turbo AM4 - No incluye Cooler,72350.0,SKU: 100-100000063WOF,1,20,11021
Memoria OLOy DDR4 16GB Warhawk Black RGB 3000MHz CL16,20600.0,P/N: MD4U163016BESA,1,5,10962
Memoria OLOy DDR4 16GB Owl Black 3000MHz CL16,22150.0,P/N: MD4U163016CJSA,1,20,10961
